PointID,Year,Site_ID,X,Y,Habitat
165,2010,SG3,809494.3,809047.7,Shrubby grassland
166,2010,SG4,809534.9,809092.8,Shrubby grassland
167,2010,SG5,809622.3,809100.6,Shrubby grassland
168,2010,SG7,838508.0,816666.3,Shrubby grassland
169,2010,SG8,838789.8,816510.2,Mixed shrubland
170,2010,SG9,838611.1,816324.1,Mixed shrubland
171,2010,SG10,844633.6,825312.3,Lowland forest
172,2010,SG11,844431.8,825295.6,Shrubby grassland
173,2010,SG12,844110.1,825488.3,Shrubby grassland
174,2010,SG13,844710.7,822761.1,Shrubby grassland
175,2010,SG14,844762.6,821561.4,Shrubby grassland
176,2010,SG15,842366.3,829847.6,Shrubby grassland
177,2010,SG16,849325.4,818259.2,Shrubby grassland
178,2010,SG17,831896.3,838305.6,Mixed shrubland
179,2010,SG18,833762.6,838868.1,Shrubby grassland
180,2010,SG19,834068.0,839772.9,Shrubby grassland
181,2010,SG20,833965.7,839953.9,Shrubby grassland
182,2010,SG21,833202.0,839351.8,Lowland forest
183,2010,SG22,819271.4,826976.3,Shrubby grassland
184,2010,SG23,819159.7,826918.1,Shrubby grassland
185,2010,SG24,818837.0,826815.5,Shrubby grassland
186,2010,SG25,818658.6,826855.2,Shrubby grassland
187,2010,SG26,818211.4,826590.1,Shrubby grassland
188,2010,SG27,817797.9,826525.9,Shrubby grassland
189,2010,SG28,817298.1,826558.1,Mixed shrubland
190,2010,SG29,817258.7,826633.4,Mixed shrubland
191,2010,SG30,819937.6,826879.6,Shrubby grassland
192,2010,SG31,819888.0,827172.3,Mixed shrubland
193,2010,SG32,819671.2,826427.5,Shrubby grassland
194,2010,SG33,819755.6,826260.2,Shrubby grassland
195,2010,SG34,819817.8,826072.4,Shrubby grassland
196,2010,SG35,827457.1,824087.8,Plantation
197,2010,SG36,827119.9,824079.6,Plantation
198,2010,SG37,827247.5,823550.5,Plantation
199,2010,SG38,827466.3,823352.1,Shrubby grassland
200,2010,SG39,827633.0,823329.9,Shrubby grassland
201,2010,SG40,828081.1,822855.5,Shrubby grassland
202,2010,SG41,828657.1,822995.7,Mixed shrubland
203,2010,SG42,828507.8,822937.0,Mixed shrubland
204,2010,SG43,828375.9,822840.0,Mixed shrubland
205,2010,SG44,828645.9,822469.3,Plantation
206,2010,SG45,810912.5,826320.0,Shrubby grassland
207,2010,SG46,816295.5,828521.8,Shrubby grassland
208,2010,SG47,816346.5,828684.8,Shrubby grassland
209,2010,SG48,816358.7,828896.7,Shrubby grassland
210,2010,SG49,816444.5,828437.7,Shrubby grassland
211,2010,SG50,816897.0,828387.9,Shrubby grassland
212,2010,SG51,813660.5,827860.8,Shrubby grassland
213,2010,SG52,813303.4,827652.8,Shrubby grassland
214,2010,SG53,813934.3,827518.1,Shrubby grassland
215,2010,SG54,813132.0,827411.1,Shrubby grassland
216,2010,SG55,813212.1,827889.5,Shrubby grassland
217,2010,SG56,813248.6,828080.2,Shrubby grassland
218,2010,SG57,813412.6,827788.7,Shrubby grassland
219,2010,SG58,816240.1,828253.6,Shrubby grassland
220,2010,SG59,814792.0,828127.8,Mixed shrubland
221,2010,SG60,816267.6,828173.8,Mixed shrubland
222,2010,SG61,816372.8,827953.4,Mixed shrubland
223,2010,SG62,816382.3,827653.7,Mixed shrubland
224,2010,SG63,816406.3,827111.5,Mixed shrubland
225,2010,SG64,816382.7,826926.3,Mixed shrubland
226,2010,SG65,846646.1,833888.8,Shrubby grassland
227,2010,SG66,816668.6,829519.6,Shrubby grassland
228,2010,SG68,816958.0,830219.0,Shrubby grassland
229,2010,SG69,816571.4,829486.2,Shrubby grassland
230,2010,SG70,816138.5,833624.4,Shrubby grassland
231,2010,SG71,816064.8,833486.3,Shrubby grassland
232,2010,SG72,815895.1,833471.1,Shrubby grassland
233,2010,SG73,841410.5,810279.3,Mixed shrubland
234,2010,SG74,841401.7,810926.3,Shrubby grassland
235,2010,SG75,843702.5,812328.3,Mixed shrubland
236,2010,SG76,843142.1,809490.1,Shrubby grassland
237,2010,SG77,823814.8,835748.1,Shrubby grassland
238,2010,SG78,824336.6,835423.4,Shrubby grassland
239,2010,SG79,824648.2,835304.1,Shrubby grassland
240,2010,SG80,824664.8,834880.9,Shrubby grassland
241,2010,SG81,841152.5,829262.9,Shrubby grassland
242,2010,SG82,841424.8,829051.3,Shrubby grassland
243,2010,SG83,841924.5,828637.8,Shrubby grassland
244,2010,SG84,841755.9,829042.3,Mixed shrubland
245,2010,SG85,841742.4,829090.9,Shrubby grassland
246,2010,SG86,840416.4,828475.0,Mixed shrubland
247,2010,SG87,840269.8,828625.2,Mixed shrubland
248,2010,SG88,841346.7,829945.6,Shrubby grassland
249,2010,SG89,841821.8,829771.1,Shrubby grassland
250,2010,SG90,841854.7,829695.8,Mixed shrubland
251,2010,SG91,847362.7,815478.2,Shrubby grassland
252,2010,SG92,847305.6,815650.8,Shrubby grassland
253,2010,SG93,848039.8,814820.4,Shrubby grassland
254,2010,SG94,824832.5,830142.2,Mixed shrubland
255,2010,SG95,824352.3,829749.1,Mixed shrubland
256,2010,SG96,824466.4,830693.2,Shrubby grassland
257,2010,SG97,824042.1,831242.2,Shrubby grassland
258,2010,SG98,824181.5,831437.2,Shrubby grassland
259,2010,SS26,855237.4,821655.5,Lowland forest
260,2010,SS28,855234.8,821871.3,Mixed shrubland
261,2010,C8,819318.6,835492.1,Grassland
262,2010,C9,819389.5,835589.6,Shrubby grassland
263,2010,C10,819495.5,835666.3,Mixed shrubland
264,2010,C23,824688.0,834855.1,Shrubby grassland
265,2010,C24,824803.2,834988.7,Shrubby grassland
266,2010,C26,820637.1,832318.2,Shrubby grassland
267,2010,C27,820730.6,831789.1,Shrubby grassland
268,2010,C32,841519.8,836946.9,Bare rock
269,2010,C42,826549.2,840941.8,Grassland
270,2010,C65,834386.2,842660.7,Grassland
271,2010,C66,830582.6,842411.8,Bare rock
272,2010,C72,834098.8,842499.8,Shrubby grassland
273,2010,M32,840653.0,845079.8,Mixed shrubland
274,2020,Pil01_12,840803.2,836572.9,Bare rock/ soil
275,2020,Pil02_02,842583.7,838144.1,Woodland
276,2020,Pil02_05,842104.6,838975.0,Shrubland
277,2020,Pil02_15,841816.2,840035.2,Grassland
278,2020,Pil03_22,844381.6,832488.6,Grassland
279,2020,Pil04_01,842224.6,838830.3,Woodland
280,2020,Pil04_02,842166.0,838442.5,Shrubland
281,2020,Pil04_06,841991.3,838388.7,Grassland
282,2020,Pil04_08,841911.1,838416.2,Grassland
283,2020,Pil04_09,841723.1,838470.1,Grassland
284,2020,Pil04_11,841361.1,838525.0,Woodland
285,2020,Pil04_11,841355.4,838504.6,Grassland
286,2020,Pil04_12,841259.4,838502.5,Grassland
287,2020,Pil04_13,841108.6,838551.6,Grassland
288,2020,Pil04_14,840978.7,838666.8,Grassland
289,2020,Pil04_15,840152.4,838911.7,Grassland
290,2020,Pil06_02,836108.3,840392.5,Grassland
291,2020,Pil06_12,836748.3,838905.9,Shrubland
292,2020,Pil06_16,836825.2,838676.9,Woodland
293,2020,Pil06_17,836847.2,838497.5,Woodland
294,2020,Pil06_20,836870.3,837073.4,Grassland
295,2020,Pil07_01,846471.1,829637.0,Grassland
296,2020,Pil07_08,847313.5,831405.8,Woodland
297,2020,Pil07_10,848033.6,831721.8,Woodland
298,2020,Pil07_12,848132.3,831989.1,Grassland
299,2020,Pil07_21,847495.6,833568.5,Grassland
300,2020,Pil07_22,847564.7,833617.4,Grassland
301,2020,Pil08_12,845807.5,828358.2,Woodland
302,2020,Pil08_15,846216.5,828287.4,Woodland
303,2020,Pil08_17,845949.9,829163.5,Woodland
304,2020,Pil08_25,846200.8,828960.5,Woodland
305,2020,Pil09_06,837284.9,838953.7,Shrubland
306,2020,Pil09_06,837315.2,838971.7,Shrubland
307,2020,Pil09_10,837559.7,839273.4,Shrubland
308,2020,Pil09_16,838133.1,839342.1,Shrubland
309,2020,Pil09_18,838579.9,839288.1,Grassland
310,2020,Pil09_19,838667.3,839260.4,Shrubland
311,2020,Pil09_20,838892.9,839224.0,Shrubland
312,2020,Pil10_03,842669.7,830299.3,Shrubland
313,2020,Pil10_05,843049.3,830423.3,Shrubland
314,2020,Pil10_08,843461.0,830505.3,Woodland
315,2020,Pil10_11,843654.1,830523.8,Grassland
316,2020,Pil10_12,843990.1,830115.0,Grassland
317,2020,Pil10_13,844058.3,829972.0,Grassland
318,2020,Pil10_16,844020.4,829621.0,Grassland
319,2020,Pil10_18,844203.3,829196.3,Grassland
320,2020,Pil10_21,844060.7,828947.6,Shrubland
321,2020,Pil10_22,843924.8,828787.6,Woodland
322,2020,Pil10_23,843896.3,828704.2,Woodland
323,2020,Pil10_24,843806.6,828648.0,Woodland
324,2020,Pil11_02,844228.1,827595.2,Shrubland
325,2020,Pil11_07,844019.8,827681.4,Shrubland
326,2020,Pil11_11,844034.8,827933.2,Grassland
327,2020,Pil11_12,843991.1,827986.9,Woodland
328,2020,Pil11_16,843881.9,828411.3,Woodland
329,2020,Pil11_17,844089.8,828825.9,Grassland
330,2020,Pil11_20,843686.5,828552.7,Woodland
331,2020,Pil11_21,843592.0,828821.4,Woodland
332,2020,Pil12_09,845868.7,832361.7,Woodland
333,2020,Pil12_16,845496.2,831409.8,Woodland
334,2020,Ref01_06,839713.9,841564.6,Rural plantation
335,2020,Ref01_08,839777.2,841402.2,Woody shrubland
336,2020,Ref01_11,840032.0,841279.0,Woodland
337,2020,Ref01_12,840032.1,841388.3,Shrubby grassland
338,2020,Ref01_13,840419.0,840852.0,Woodland
339,2020,Ref01_14,840528.6,840745.8,Woody shrubland
340,2020,Ref01_15,840616.0,840576.0,Woodland
341,2020,Ref01_16,840881.0,840436.1,Shrubland
342,2020,Ref01_18,841110.7,840355.0,Grassland
343,2020,Ref01_19,841332.2,839991.3,Woody shrubland
344,2020,Ref01_20,841223.9,839818.4,Woodland
345,2020,Ref01_21,841150.6,839623.9,Woodland
346,2020,Ref01_22,841578.0,839547.1,Woodland
347,2020,Ref01_23,842064.4,840171.1,Grassland
348,2020,Ref01_24,842070.9,840149.7,Woody shrubland
349,2020,Ref02_01,851800.6,835621.9,Woody shrubland
350,2020,Ref02_02,851842.8,835602.3,Woody shrubland
351,2020,Ref02_08,851680.1,835588.5,Woodland
352,2020,Ref02_15,852841.6,835748.9,Grassland
353,2020,Ref02_19,852711.0,835251.0,Shrubland
354,2020,Ref02_21,852440.3,835059.3,Woodland
355,2020,Ref02_22,852399.6,834941.4,Woodland
356,2020,Ref02_23,852507.4,834886.4,Woody shrubland
357,2020,Ref02_24,852870.8,834496.9,Woody shrubland
358,2020,Ref02_27,852948.7,834257.2,Shrubby grassland
359,2020,Ref02_35,852123.4,832906.1,Grassland
360,2020,Ref03_01,838144.5,823444.7,Rural plantation
361,2020,Ref03_02,838493.8,823926.2,Rural plantation
362,2020,Ref03_03,838464.8,824042.8,Woody shrubland
363,2020,Ref03_04,838451.5,824040.8,Shrubby grassland
364,2020,Ref03_05,838397.9,824053.6,Rural plantation
365,2020,Ref03_07,838234.2,824051.9,Shrubland
366,2020,Ref03_08,838162.2,824064.0,Shrubby grassland
367,2020,Ref03_10,837968.8,824151.3,Woodland
368,2020,Ref03_11,837909.3,824187.7,Shrubby grassland
369,2020,Ref03_12,837847.5,824101.4,Woodland
370,2020,Ref03_14,837329.1,823980.5,Woodland
371,2020,Ref03_15,836855.7,823815.4,Woodland
372,2020,Ref03_18,836973.8,823432.3,Woodland
373,2020,Ref04_05,851177.8,828302.1,Woodland
374,2020,Ref04_07,851114.8,827982.2,Woodland
375,2020,Ref04_08,850996.3,827746.4,Grassland
376,2020,Ref04_09,851173.0,827422.5,Woodland
377,2020,Ref04_10,851459.6,827271.7,Woodland
378,2020,Ref04_13,851873.2,826903.5,Shrubby grassland
379,2020,Ref04_14,851970.8,826841.3,Shrubby grassland
380,2020,Ref04_15,852126.1,826831.3,Shrubland
381,2020,Ref04_17,852335.8,826826.9,Shrubland
382,2020,Ref04_18,852411.4,826943.9,Woodland
383,2020,Ref04_19,852529.5,826883.3,Shrubland
384,2020,Ref04_20,852681.0,826926.1,Rural plantation
385,2020,Ref05_01,813781.3,829494.7,Woodland
386,2020,Ref05_01,813894.9,829547.6,Grassland
387,2020,Ref05_02,813226.2,829677.8,Woodland
388,2020,Ref05_04,813195.6,830152.4,Mixed barren land
389,2020,Ref05_05,812928.1,830237.6,Bare rock/ soil
390,2020,Ref05_06,812767.5,830311.6,Bare rock/ soil
391,2020,Ref05_07,812375.5,830849.5,Bare rock/ soil
392,2020,Ref05_07,811981.3,831363.9,Woody shrubland
393,2020,Ref05_08,812322.4,831504.1,Woodland
394,2020,Ref05_09,812666.4,832149.8,Woody shrubland
395,2020,Ref06_01,821597.1,829754.2,Rural plantation
396,2020,Ref06_02,821740.8,829465.1,Rural plantation
397,2020,Ref06_03,821684.0,829121.3,Rural plantation
398,2020,Ref06_04,821546.6,828916.3,Shrubby grassland
399,2020,Ref06_05,821532.8,828655.8,Woodland
400,2020,Ref06_06,821494.2,828627.4,Rural plantation
401,2020,Ref06_08,821186.6,828485.2,Shrubland
402,2020,Ref06_09,821022.0,828425.5,Rural plantation
403,2020,Ref06_10,820782.9,828256.0,Shrubland
404,2020,Ref06_11,820493.3,828177.8,Shrubland
405,2020,Ref06_12,820119.5,827676.6,Woodland
406,2020,Ref06_13,820055.7,827357.4,Shrubland
407,2020,Ref06_14,819915.4,827092.1,Grassland
408,2020,Ref06_16,819638.7,826994.4,Woodland
409,2020,Ref07_01,848187.7,817443.1,Woodland
410,2020,Ref07_03,848975.3,817144.4,Woodland
411,2020,Ref07_04,848940.8,816789.7,Grassland
412,2020,Ref07_05,848916.1,816774.2,Bare rock/ soil
413,2020,Ref07_06,848909.3,816747.4,Grassland
414,2020,Ref07_07,849165.0,817100.9,Woody shrubland
415,2020,Ref07_08,849196.8,817239.9,Shrubland
416,2020,Ref07_09,849187.2,817158.0,Shrubland
417,2020,Ref07_10,849181.9,817524.9,Shrubland
418,2020,Ref07_11,849182.6,817550.7,Shrubby grassland
419,2020,Ref07_12,849302.2,817657.6,Shrubland
420,2020,Ref07_13,849391.0,817717.0,Shrubby grassland
421,2020,Ref07_14,849462.0,817964.8,Shrubby grassland
422,2020,Ref07_15,849292.0,818830.4,Bare rock/ soil
423,2020,Ref07_20,848720.2,818267.7,Woodland
424,2020,Ref07_21,848699.1,818213.2,Woodland
425,2020,Ref08_01,814748.6,817623.4,Woodland
426,2020,Ref08_02,814850.9,817600.7,Woodland
427,2020,Ref08_04,815138.1,817425.1,Woodland
428,2020,Ref08_05,815270.6,817335.6,Woodland
429,2020,Ref08_06,815469.9,817136.1,Woodland
430,2020,Ref08_07,815584.5,817019.4,Grassland
431,2020,Ref08_08,816068.7,816587.8,Shrubland
432,2020,Ref08_09,816170.2,816303.2,Shrubland
433,2020,Ref08_10,816193.8,816283.6,Shrubby grassland
434,2020,Ref08_11,816441.4,815770.1,Shrubland
435,2020,Ref08_12,816519.9,815730.0,Woodland
436,2020,Ref08_13,816551.2,815701.1,Rural plantation
437,2020,Ref08_14,816851.1,815618.6,Grassland
438,2020,Ref08_15,816890.9,815479.7,Woodland
439,2020,Ref08_16,816876.0,815378.8,Shrubland
440,2020,Ref08_17,816947.8,815224.3,Woodland
441,2020,Ref08_18,817068.8,814475.8,Grassland
442,2020,Ref09_02,838388.7,813555.7,Shrubland
443,2020,Ref09_03,838351.7,813692.4,Shrubland
444,2020,Ref09_05,838524.6,814181.3,Shrubby grassland
445,2020,Ref09_06,838682.6,814154.8,Shrubland
446,2020,Ref09_08,839030.1,814399.8,Bare rock/ soil
447,2020,Ref09_09,839254.2,814390.3,Shrubland
448,2020,Ref09_10,839306.2,814454.5,Shrubby grassland
449,2020,Ref09_11,839328.9,814467.9,Grassland
450,2020,Ref09_12,839444.2,814465.1,Shrubby grassland
451,2020,Ref09_13,839725.5,814364.2,Woodland
452,2020,Ref09_14,839999.1,814226.8,Rural plantation
453,2020,Ref09_15,839984.2,814381.3,Woodland
454,2020,Ref09_16,839717.2,814729.5,Woody shrubland
455,2020,Ref09_17,839554.9,815342.2,Woodland
456,2020,Ref09_18,839678.3,815501.9,Woodland
457,2020,Ref10_01,833422.8,814612.6,Woodland
458,2020,Ref10_02,833508.9,814360.5,Woodland
459,2020,Ref10_03,833096.2,814340.8,Woodland
460,2020,Ref10_04,832578.0,814084.0,Grassland
461,2020,Ref10_05,832501.3,814083.5,Rural plantation
462,2020,Ref10_06,832578.7,813795.2,Rural plantation
463,2020,Ref10_07,832530.7,813697.0,Rural plantation
464,2020,Ref10_08,832726.4,813559.8,Woodland
465,2020,Ref10_09,832930.9,813429.5,Shrubland
466,2020,Ref10_10,833123.7,812971.2,Woodland
467,2020,Ref10_11,833055.2,812819.0,Woody shrubland
468,2020,Ref10_12,832965.4,812588.9,Shrubland
469,2020,Ref10_13,833043.0,812541.1,Shrubland
470,2020,Ref10_14,833175.9,812609.4,Shrubby grassland
471,2020,Ref10_15,833710.8,812817.6,Woodland
472,2020,Ref11_01,812714.2,812071.7,Rural plantation
473,2020,Ref11_02,812793.5,811951.8,Woodland
474,2020,Ref11_03,812925.9,811721.8,Woody shrubland
475,2020,Ref11_04,812995.6,811717.1,Shrubland
476,2020,Ref11_05,813166.0,811704.2,Shrubland
477,2020,Ref11_06,813205.1,811767.5,Shrubland
478,2020,Ref11_07,813448.0,812093.1,Shrubland
479,2020,Ref11_08,813468.3,812157.2,Woodland
480,2020,Ref11_09,814208.0,812579.4,Shrubby grassland
481,2020,Ref11_12,815068.8,812653.7,Woodland
482,2020,Ref11_14,815419.6,813095.6,Woodland
483,2020,Ref11_15,815570.0,813208.0,Woodland
484,2020,Ref11_16,815957.2,813258.2,Rural plantation
485,2020,Ref11_17,816643.7,813151.1,Rural plantation
486,2020,Ref12_02,807960.8,816610.1,Grassland
487,2020,Ref12_02,807986.7,816658.3,Grassland
488,2020,Ref12_04,808238.5,816691.5,Woodland
489,2020,Ref12_06,808859.1,816806.6,Woodland
490,2020,Ref12_08,809121.5,816968.9,Shrubby grassland
491,2020,Ref12_09,809513.2,817055.1,Shrubland
492,2020,Ref13_09,822421.4,838858.6,Woodland
493,2020,Ref13_10,822478.1,838951.0,Woodland
494,2020,Ref13_12,823055.2,839539.8,Woodland
495,2020,Ref13_14,822468.5,836013.8,Woodland
496,2020,Ref13_15,821342.9,836625.1,Woodland
497,2020,Ref13_16,821314.6,835992.4,Grassland
498,2020,Ref13_17,821564.4,835489.1,Rural plantation
499,2020,Ref14_01,831218.5,842268.9,Shrubby grassland
500,2020,Ref14_02,831349.3,842369.1,Shrubby grassland
501,2020,Ref14_03,831571.9,842334.4,Shrubby grassland
502,2020,Ref14_05,831800.6,842281.9,Grassland
503,2020,Ref14_06,831934.1,842218.3,Grassland
504,2020,Ref14_07,832063.4,842038.4,Woody shrubland
505,2020,Ref14_08,832313.2,841840.7,Grassland
506,2020,Ref14_10,833072.6,841739.4,Shrubland
507,2020,Ref14_13,833316.8,841711.3,Shrubby grassland
508,2020,Ref14_14,833736.7,841667.7,Grassland
509,2020,Ref14_15,833859.4,841820.0,Grassland
