ID,index,GEE_ID,LANDSAT_PRODUCT_ID,SPACECRAFT_ID,SENSOR_ID,Date,Time,WRS_TYPE,WRS_PATH,WRS_ROW,CloudCover,SunAzimuth,SunElevation,SunZenith,RemainAfterPreprocess,Period,CountValidPixel,Percentile
976,LC08_121045_20191123,LANDSAT/LC08/C02/T1_L2/LC08_121045_20191123,LC08_L2SP_121045_20191123_20200825_02_T1,LANDSAT_8,OLI_TIRS,23/11/2019,02:46:39.1894020Z,2,121,45,10.19,153.53,43.71,46.29,No,,,
977,LC08_122045_20191130,LANDSAT/LC08/C02/T1_L2/LC08_122045_20191130,LC08_L2SP_122045_20191130_20200825_02_T1,LANDSAT_8,OLI_TIRS,30/11/2019,02:52:50.1763160Z,2,122,45,4.6,153.69,42.29,47.71,Yes,2020,620871,22
978,LE07_121044_20191201,LANDSAT/LE07/C02/T1_L2/LE07_121044_20191201,LE07_L2SP_121044_20191201_20200823_02_T1,LANDSAT_7,ETM,1/12/2019,02:28:24.4929749Z,2,121,44,2,149.64,38.96,51.04,Yes,2020,858283,43
979,LE07_121045_20191201,LANDSAT/LE07/C02/T1_L2/LE07_121045_20191201,LE07_L2SP_121045_20191201_20200823_02_T1,LANDSAT_7,ETM,1/12/2019,02:28:48.3884884Z,2,121,45,26,148.79,40.09,49.91,No,,,
980,LE07_122044_20191208,LANDSAT/LE07/C02/T1_L2/LE07_122044_20191208,LE07_L2SP_122044_20191208_20200823_02_T1,LANDSAT_7,ETM,8/12/2019,02:34:14.5507799Z,2,122,44,0,149.44,37.78,52.22,Yes,2020,816918,35
981,LE07_122045_20191208,LANDSAT/LE07/C02/T1_L2/LE07_122045_20191208,LE07_L2SP_122045_20191208_20200823_02_T1,LANDSAT_7,ETM,8/12/2019,02:34:38.4472485Z,2,122,45,3,148.61,38.90,51.10,No,,,
982,LC08_122045_20200117,LANDSAT/LC08/C02/T1_L2/LC08_122045_20200117,LC08_L2SP_122045_20200117_20200823_02_T1,LANDSAT_8,OLI_TIRS,17/1/2020,02:52:41.0130520Z,2,122,45,14.6,147.40,40.45,49.55,No,,,
983,LC08_122044_20200218,LANDSAT/LC08/C02/T1_L2/LC08_122044_20200218,LC08_L2SP_122044_20200218_20200823_02_T1,LANDSAT_8,OLI_TIRS,18/2/2020,02:52:08.4050280Z,2,122,44,0.06,140.23,46.24,43.76,Yes,2020,1190450,92
984,LC08_122045_20200218,LANDSAT/LC08/C02/T1_L2/LC08_122045_20200218,LC08_L2SP_122045_20200218_20200823_02_T1,LANDSAT_8,OLI_TIRS,18/2/2020,02:52:32.3003039Z,2,122,45,28.03,138.97,47.19,42.81,No,,,
985,LE07_122044_20200226,LANDSAT/LE07/C02/T1_L2/LE07_122044_20200226,LE07_L2SP_122044_20200226_20200822_02_T1,LANDSAT_7,ETM,26/2/2020,02:30:09.8006272Z,2,122,44,16,131.83,45.04,44.96,Yes,2020,604678,14
