PointID,Year,Site_ID_OriginalStudy,Easting,Northing,OriginalClass,ConvertedClass
58,1995,TLP2,827396.4,828440.3,Grassland,Grassland
59,1995,TLP3,824450,826850,Woodland,Woodland
60,1995,TMS1,831037.9,830626.4,Woodland,Woodland
61,1995,TMS2,830943.4,830750,Grassland,Grassland
62,1995,TMS3,830949.8,830856.8,Grassland,Grassland
63,1995,TMS4,831125.5,830840.7,Grassland,Grassland
64,1995,TMS5,831050,830650,Woodland,Woodland
65,1995,TPK1,836773.3,831863.7,Woodland,Woodland
66,1995,TPK2,836674.9,831500.5,Woodland,Woodland
67,1995,TPK3,836619.6,831629.1,Woodland,Woodland
68,1995,TPK4,836589.4,831965.8,Shrubland,Shrubland
69,1995,TTM1,840722.4,813459.6,Shrubland,Shrubland
70,1995,TTM2,840428.8,813460,Shrubland,Shrubland
71,1995,TTM3,840383.7,813667,Woodland,Woodland
72,1995,TTM4,840300.7,813909.8,Woodland,Woodland
73,1995,TTY1,830050,834450,Grassland,Grassland
74,1995,TYF1,830230.2,835038.2,Woodland,Woodland
75,2010,LF1,812338.3,810962.4,Lowland forest,Woodland
76,2010,LF2,835419.6,814927.1,Lowland forest,Woodland
77,2010,LF3,835654,814404.5,Lowland forest,Woodland
78,2010,LF4,835481.2,814019.3,Lowland forest,Woodland
79,2010,LF5,835460.8,814194.3,Lowland forest,Woodland
80,2010,LF6,835343,814173.5,Lowland forest,Woodland
81,2010,LF7,835161.5,813934,Lowland forest,Woodland
82,2010,LF8,834909.5,813478.7,Lowland forest,Woodland
83,2010,LF9,834540.1,812977.4,Lowland forest,Woodland
84,2010,LF10,838313.3,816086.3,Lowland forest,Woodland
85,2010,LF11,843788,825547.5,Lowland forest,Woodland
86,2010,LF12,843941.8,825106.8,Lowland forest,Woodland
87,2010,LF13,844004.1,824622.1,Lowland forest,Woodland
88,2010,LF14,844530.9,822414.5,Lowland forest,Woodland
89,2010,LF15,843941.6,823159.6,Lowland forest,Woodland
90,2010,LF16,842866.8,829342.2,Lowland forest,Woodland
91,2010,LF17,842661.5,830062.4,Lowland forest,Woodland
92,2010,LF18,833609.8,837899.1,Lowland forest,Woodland
93,2010,LF19,833436.6,838163.7,Lowland forest,Woodland
94,2010,LF20,834255.2,839645.9,Lowland forest,Woodland
95,2010,LF21,848717.5,818236,Lowland forest,Woodland
96,2010,LF24,832178.7,836026.3,Lowland forest,Woodland
97,2010,LF25,832010.8,836150.8,Lowland forest,Woodland
98,2010,LF26,831826.2,836093.9,Lowland forest,Woodland
99,2010,LF27,831820.9,836213.1,Lowland forest,Woodland
100,2010,LF28,832399.2,835629.8,Lowland forest,Woodland
101,2010,LF29,833413.1,834974.2,Lowland forest,Woodland
102,2010,LF30,833513.7,834853.1,Lowland forest,Woodland
103,2010,LF31,833467.8,834587.5,Lowland forest,Woodland
104,2010,LF32,841119.9,810894.2,Lowland forest,Woodland
105,2010,LF33,843353.7,811824.1,Lowland forest,Woodland
106,2010,LF35,841743.7,812342.6,Lowland forest,Woodland
107,2010,LF36,841814.9,812232.1,Lowland forest,Woodland
108,2010,LF37,842029,812172.5,Lowland forest,Woodland
109,2010,LF38,842394.6,811615,Shrubland,Shrubland
110,2010,LF39,842748.2,810537.6,Shrubland,Shrubland
111,2010,LF40,840518.7,810277.5,Lowland forest,Woodland
112,2010,LF41,841006.1,811216.3,Lowland forest,Woodland
113,2010,LF42,840715.7,811286.5,Lowland forest,Woodland
114,2010,LF43,841844.9,828599.5,Lowland forest,Woodland
115,2010,LF44,834184.3,828274.2,Plantation or Plantation/Mixed forest,Woodland
116,2010,MSh1,812476.6,811696.7,Lowland forest,Woodland
