ID,POINT_X,POINT_Y,Class,G_ms,R_ms,NIR_B3_ms,NIR_ms,B_tm,G_tm,R_tm,NIR_tm,SW1_tm,SW2_tm,B_et,G_et,R_et,NIR_et,SW1_et,SW2_et,C_ol,B_ol,G_ol,R_ol,NIR_ol,SW1_ol,SW2_ol
97,833596.3586,814905.3448,Woodland,0.0082,0.0293,0.1492,0.2303,0.0325,0.0454,0.0339,0.2284,0.1131,0.0419,0.0238,0.0358,0.0232,0.2356,0.1084,0.0409,0.0187,0.0221,0.0381,0.0248,0.2626,0.1107,0.0434
98,832422.5764,815295.1694,Woodland,0.0030,0.0200,0.1258,0.1926,0.0309,0.0443,0.0314,0.2046,0.1032,0.0402,0.0225,0.0346,0.0215,0.2148,0.1016,0.0402,0.0147,0.0192,0.0362,0.0220,0.2373,0.1033,0.0426
99,836894.6169,812956.5568,Woodland,0.0197,0.0329,0.1798,0.2770,0.0368,0.0524,0.0384,0.2773,0.1285,0.0488,0.0269,0.0439,0.0267,0.2890,0.1268,0.0480,0.0222,0.0257,0.0464,0.0266,0.3103,0.1207,0.0477
100,810794.4877,812987.217,Woodland,0.0099,0.0305,0.1637,0.2657,0.0330,0.0481,0.0364,0.2255,0.1141,0.0447,0.0258,0.0374,0.0253,0.2384,0.1115,0.0436,0.0214,0.0241,0.0409,0.0266,0.2406,0.1044,0.0422
101,816314.783,811304.6929,Woodland,0.0273,0.0371,0.1998,0.3210,0.0431,0.0605,0.0446,0.3045,0.1519,0.0612,0.0326,0.0502,0.0316,0.3146,0.1501,0.0599,0.0172,0.0222,0.0476,0.0269,0.3300,0.1368,0.0566
102,817546.2482,814426.7349,Woodland,0.0227,0.0342,0.1544,0.2356,0.0410,0.0589,0.0445,0.2321,0.1324,0.0549,0.0318,0.0472,0.0315,0.2331,0.1232,0.0513,0.0241,0.0268,0.0477,0.0296,0.2474,0.1213,0.0514
103,810672.5412,810885.8541,Woodland,0.0135,0.0276,0.2072,0.3187,0.0369,0.0543,0.0392,0.2704,0.1291,0.0504,0.0262,0.0413,0.0261,0.2845,0.1256,0.0470,0.0300,0.0317,0.0477,0.0314,0.2882,0.1195,0.0478
104,843763.478,822797.8281,Woodland,0.0160,0.0261,0.1457,0.2188,0.0355,0.0499,0.0365,0.2252,0.1156,0.0459,0.0262,0.0391,0.0265,0.2492,0.1171,0.0461,0.0179,0.0214,0.0412,0.0262,0.2560,0.1097,0.0449
105,842086.7075,822944.7328,Woodland,0.0124,0.0292,0.1830,0.2930,0.0310,0.0468,0.0320,0.2558,0.1225,0.0452,0.0235,0.0370,0.0225,0.2619,0.1169,0.0439,0.0214,0.0230,0.0408,0.0251,0.2915,0.1175,0.0454
106,843762.3348,824594.3955,Woodland,0.0167,0.0324,0.1784,0.2815,0.0369,0.0529,0.0381,0.2607,0.1224,0.0481,0.0289,0.0452,0.0277,0.2770,0.1214,0.0455,0.0180,0.0224,0.0451,0.0267,0.2980,0.1191,0.0477
107,847453.3996,829601.8445,Woodland,0.0146,0.0240,0.1909,0.3065,0.0302,0.0467,0.0314,0.2723,0.1190,0.0426,0.0233,0.0379,0.0234,0.2772,0.1167,0.0426,0.0200,0.0222,0.0409,0.0239,0.2930,0.1137,0.0439
108,848626.0573,829155.5246,Woodland,0.0142,0.0256,0.1777,0.2839,0.0323,0.0468,0.0325,0.2543,0.1161,0.0442,0.0241,0.0365,0.0226,0.2688,0.1160,0.0429,0.0156,0.0197,0.0386,0.0233,0.2752,0.1111,0.0432
109,854925.4684,831287.1445,Woodland,0.0116,0.0339,0.1671,0.2608,0.0373,0.0552,0.0387,0.2514,0.1343,0.0560,0.0295,0.0451,0.0280,0.2802,0.1309,0.0517,0.0105,0.0169,0.0426,0.0231,0.3090,0.1266,0.0500
110,835725.8039,823756.1388,Woodland,0.0055,0.0270,0.1420,0.2129,0.0302,0.0437,0.0326,0.2083,0.1059,0.0415,0.0226,0.0358,0.0232,0.2193,0.1054,0.0405,0.0220,0.0235,0.0383,0.0247,0.2445,0.1051,0.0422
111,836562.4132,828615.4084,Woodland,0.0199,0.0377,0.1620,0.2239,0.0376,0.0514,0.0401,0.2096,0.1088,0.0436,0.0275,0.0399,0.0283,0.2228,0.1053,0.0421,0.0202,0.0237,0.0412,0.0263,0.2472,0.1048,0.0441
112,837433.9745,832245.3446,Woodland,0.0166,0.0242,0.1545,0.2539,0.0346,0.0490,0.0379,0.2238,0.1252,0.0509,0.0249,0.0379,0.0267,0.2143,0.1208,0.0516,0.0211,0.0241,0.0390,0.0262,0.2300,0.1097,0.0477
113,834524.3766,829932.8817,Woodland,0.0029,0.0283,0.1649,0.2583,0.0315,0.0471,0.0357,0.2609,0.1374,0.0514,0.0228,0.0373,0.0245,0.2582,0.1291,0.0501,0.0206,0.0242,0.0419,0.0268,0.2836,0.1272,0.0499
114,836353.0057,832003.6047,Woodland,0.0032,0.0270,0.1630,0.2614,0.0327,0.0459,0.0348,0.2449,0.1250,0.0483,0.0231,0.0347,0.0229,0.2467,0.1183,0.0459,0.0212,0.0237,0.0377,0.0243,0.2738,0.1165,0.0464
115,836325.0101,839746.7158,Woodland,0.0133,0.0336,0.1623,0.2582,0.0361,0.0516,0.0392,0.2450,0.1315,0.0544,0.0284,0.0436,0.0292,0.2551,0.1335,0.0546,0.0197,0.0237,0.0459,0.0286,0.3039,0.1367,0.0558
116,840823.7341,839264.6249,Woodland,0.0108,0.0281,0.1942,0.2942,0.0298,0.0460,0.0332,0.2654,0.1262,0.0492,0.0233,0.0370,0.0226,0.2789,0.1308,0.0507,0.0227,0.0255,0.0424,0.0254,0.3033,0.1230,0.0490
117,844604.4267,843103.6816,Woodland,0.0159,0.0268,0.2035,0.3290,0.0360,0.0529,0.0362,0.2902,0.1313,0.0495,0.0249,0.0403,0.0233,0.3044,0.1283,0.0476,0.0175,0.0203,0.0417,0.0227,0.3276,0.1266,0.0489
118,837193.683,842026.1374,Woodland,0.0053,0.0262,0.1462,0.2264,0.0380,0.0527,0.0404,0.2155,0.1129,0.0447,0.0264,0.0399,0.0269,0.2252,0.1085,0.0448,0.0148,0.0193,0.0402,0.0247,0.2471,0.1113,0.0457
119,830207.281,837677.5578,Woodland,0.0215,0.0375,0.1601,0.2606,0.0430,0.0593,0.0479,0.2334,0.1282,0.0580,0.0339,0.0484,0.0343,0.2577,0.1322,0.0570,0.0207,0.0261,0.0468,0.0308,0.2868,0.1241,0.0530
120,825789.439,828703.8211,Woodland,0.0000,0.0213,0.1745,0.2914,0.0310,0.0467,0.0348,0.2508,0.1253,0.0505,0.0230,0.0357,0.0231,0.2507,0.1232,0.0483,0.0205,0.0241,0.0428,0.0278,0.2930,0.1271,0.0516
