ID,POINT_X,POINT_Y,Class,G_ms,R_ms,NIR_B3_ms,NIR_ms,B_tm,G_tm,R_tm,NIR_tm,SW1_tm,SW2_tm,B_et,G_et,R_et,NIR_et,SW1_et,SW2_et,C_ol,B_ol,G_ol,R_ol,NIR_ol,SW1_ol,SW2_ol
51,842714.7166,812205.2415,Shrubland,0.0188,0.0295,0.2075,0.3178,0.0339,0.0510,0.0340,0.2830,0.1207,0.0423,0.0245,0.0386,0.0234,0.2786,0.1165,0.0422,0.0170,0.0209,0.0412,0.0239,0.2919,0.1107,0.0435
52,838125.6285,813496.8605,Shrubland,0.0139,0.0353,0.1329,0.1918,0.0323,0.0477,0.0356,0.1971,0.1058,0.0450,0.0225,0.0360,0.0244,0.2148,0.1048,0.0428,0.0215,0.0249,0.0430,0.0281,0.2415,0.1068,0.0457
53,832242.2415,814394.5341,Shrubland,0.0170,0.0370,0.1537,0.2363,0.0308,0.0465,0.0330,0.2193,0.0994,0.0378,0.0217,0.0358,0.0228,0.2309,0.0955,0.0352,0.0125,0.0168,0.0352,0.0209,0.2421,0.0932,0.0370
54,835062.9397,812472.9602,Shrubland,0.0192,0.0334,0.1399,0.2087,0.0387,0.0521,0.0430,0.1947,0.1161,0.0524,0.0293,0.0410,0.0312,0.2030,0.1112,0.0485,0.0208,0.0247,0.0420,0.0298,0.2207,0.1160,0.0509
55,807765.2634,815234.1728,Shrubland,0.0204,0.0361,0.1371,0.1870,0.0382,0.0552,0.0418,0.1861,0.1144,0.0495,0.0284,0.0429,0.0286,0.2011,0.1123,0.0484,0.0154,0.0198,0.0399,0.0242,0.2144,0.1059,0.0474
56,817604.754,809684.3243,Shrubland,0.0127,0.0241,0.1615,0.2557,0.0360,0.0550,0.0381,0.2453,0.1299,0.0539,0.0254,0.0424,0.0265,0.2560,0.1271,0.0508,0.0132,0.0183,0.0431,0.0247,0.2736,0.1246,0.0501
57,821986.6815,812715.6471,Shrubland,0.0207,0.0295,0.1694,0.2559,0.0407,0.0597,0.0428,0.2614,0.1377,0.0565,0.0300,0.0490,0.0316,0.2730,0.1311,0.0532,0.0225,0.0267,0.0495,0.0297,0.2972,0.1277,0.0521
58,843522.9511,820934.4721,Shrubland,0.0260,0.0403,0.1685,0.2462,0.0367,0.0561,0.0439,0.2315,0.1368,0.0601,0.0277,0.0441,0.0297,0.2331,0.1243,0.0510,0.0214,0.0242,0.0434,0.0271,0.2514,0.1137,0.0457
59,845984.7386,824655.1276,Shrubland,0.0180,0.0274,0.1495,0.2202,0.0389,0.0564,0.0391,0.2642,0.1286,0.0518,0.0312,0.0467,0.0297,0.2750,0.1209,0.0461,0.0206,0.0240,0.0447,0.0261,0.2937,0.1156,0.0442
60,856515.8626,827175.752,Shrubland,0.0131,0.0371,0.1484,0.2252,0.0396,0.0563,0.0426,0.2222,0.1376,0.0605,0.0318,0.0442,0.0331,0.2261,0.1300,0.0577,0.0125,0.0187,0.0440,0.0266,0.2560,0.1275,0.0551
61,853573.7959,825225.8483,Shrubland,0.0231,0.0385,0.1519,0.2188,0.0384,0.0540,0.0440,0.2238,0.1500,0.0684,0.0308,0.0452,0.0343,0.2327,0.1460,0.0666,0.0201,0.0256,0.0464,0.0316,0.2523,0.1385,0.0625
62,854206.2492,830205.1843,Shrubland,0.0149,0.0252,0.1969,0.3193,0.0321,0.0483,0.0346,0.2663,0.1291,0.0505,0.0231,0.0366,0.0224,0.2647,0.1229,0.0478,0.0111,0.0166,0.0383,0.0213,0.2827,0.1200,0.0491
63,855555.0823,835395.0166,Shrubland,0.0387,0.0413,0.2162,0.3305,0.0456,0.0646,0.0472,0.2909,0.1662,0.0702,0.0370,0.0532,0.0343,0.3064,0.1580,0.0676,0.0186,0.0253,0.0524,0.0303,0.3287,0.1582,0.0682
64,850425.6734,829125.5474,Shrubland,0.0251,0.0370,0.1959,0.3024,0.0331,0.0515,0.0358,0.2773,0.1364,0.0526,0.0251,0.0421,0.0266,0.2912,0.1334,0.0507,0.0145,0.0190,0.0430,0.0247,0.3043,0.1285,0.0499
65,848445.5719,831464.8436,Shrubland,0.0226,0.0389,0.1810,0.2783,0.0354,0.0529,0.0416,0.2258,0.1414,0.0623,0.0282,0.0435,0.0328,0.2385,0.1367,0.0583,0.0188,0.0228,0.0436,0.0294,0.2478,0.1303,0.0570
66,844727.4586,831525.8242,Shrubland,0.0304,0.0419,0.2029,0.2865,0.0397,0.0661,0.0479,0.2573,0.1609,0.0689,0.0312,0.0514,0.0352,0.2555,0.1498,0.0621,0.0321,0.0326,0.0494,0.0328,0.2652,0.1312,0.0540
67,843016.3067,830085.7599,Shrubland,0.0151,0.0286,0.1636,0.2534,0.0264,0.0389,0.0285,0.2173,0.0945,0.0335,0.0176,0.0295,0.0189,0.2262,0.0876,0.0292,0.0165,0.0190,0.0329,0.0208,0.2568,0.0893,0.0311
68,839774.7006,826093.9541,Shrubland,0.0199,0.0373,0.1415,0.2057,0.0360,0.0512,0.0408,0.1717,0.1196,0.0536,0.0298,0.0415,0.0312,0.1881,0.1193,0.0523,0.0174,0.0216,0.0412,0.0299,0.2107,0.1229,0.0547
69,833413.6826,837315.7831,Shrubland,0.0177,0.0328,0.1896,0.3027,0.0397,0.0590,0.0427,0.2981,0.1580,0.0678,0.0305,0.0500,0.0337,0.3000,0.1596,0.0674,0.0285,0.0313,0.0520,0.0320,0.3398,0.1572,0.0663
70,838605.7386,837584.9599,Shrubland,0.0158,0.0302,0.1803,0.2765,0.0357,0.0533,0.0364,0.2779,0.1313,0.0501,0.0277,0.0453,0.0273,0.2978,0.1303,0.0480,0.0252,0.0265,0.0456,0.0266,0.3222,0.1267,0.0487
71,843705.0923,839835.1821,Shrubland,0.0230,0.0337,0.1886,0.2868,0.0379,0.0583,0.0449,0.2486,0.1555,0.0650,0.0275,0.0455,0.0313,0.2532,0.1413,0.0575,0.0202,0.0234,0.0437,0.0285,0.2688,0.1268,0.0531
72,844005.8567,842893.8593,Shrubland,0.0170,0.0304,0.1696,0.2649,0.0346,0.0544,0.0397,0.2424,0.1333,0.0531,0.0242,0.0395,0.0249,0.2568,0.1238,0.0479,0.0162,0.0200,0.0398,0.0237,0.2703,0.1172,0.0468
73,837315.4304,845595.3454,Shrubland,0.0179,0.0414,0.1572,0.2222,0.0418,0.0689,0.0563,0.2401,0.1657,0.0770,0.0316,0.0554,0.0410,0.2442,0.1588,0.0706,0.0221,0.0263,0.0482,0.0331,0.2636,0.1347,0.0586
